# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Age [Gyr]	Age_err
-1.12293e+00	1.00000e-02	1.59859e-01	1.00000e-02	8.17481e+00	1.00000e-01
-1.01007e+00	1.00000e-02	1.02603e-01	1.00000e-02	7.07773e+00	1.00000e-01
-1.08193e+00	1.00000e-02	1.34193e-01	1.00000e-02	7.72082e+00	1.00000e-01
-1.12364e+00	1.00000e-02	1.85109e-01	1.00000e-02	8.14411e+00	1.00000e-01
-1.18733e+00	1.00000e-02	2.35697e-01	1.00000e-02	8.44013e+00	1.00000e-01
-1.06446e+00	1.00000e-02	1.38978e-01	1.00000e-02	7.56563e+00	1.00000e-01
-1.20867e+00	1.00000e-02	2.24837e-01	1.00000e-02	8.53145e+00	1.00000e-01
-8.71921e-01	1.00000e-02	-3.58735e-02	1.00000e-02	5.15924e+00	1.00000e-01
-7.40009e-01	1.00000e-02	-1.69768e-01	1.00000e-02	3.27909e+00	1.00000e-01
-1.23835e+00	1.00000e-02	2.61772e-01	1.00000e-02	8.70845e+00	1.00000e-01
-9.58625e-01	1.00000e-02	5.37336e-02	1.00000e-02	6.64200e+00	1.00000e-01
-1.10796e+00	1.00000e-02	1.91769e-01	1.00000e-02	8.14822e+00	1.00000e-01
-1.12128e+00	1.00000e-02	1.67194e-01	1.00000e-02	7.90699e+00	1.00000e-01
-8.21652e-01	1.00000e-02	-7.33801e-02	1.00000e-02	4.27603e+00	1.00000e-01
-1.76381e+00	1.00000e-02	4.16490e-01	1.00000e-02	9.56332e+00	1.00000e-01
-1.70990e+00	1.00000e-02	4.09114e-01	1.00000e-02	9.57769e+00	1.00000e-01
-2.08018e+00	1.00000e-02	4.52464e-01	1.00000e-02	9.90216e+00	1.00000e-01
-9.31407e-01	1.00000e-02	3.10763e-02	1.00000e-02	6.07783e+00	1.00000e-01
-9.75448e-01	1.00000e-02	4.92374e-02	1.00000e-02	6.60141e+00	1.00000e-01
-8.95367e-01	1.00000e-02	-1.12790e-03	1.00000e-02	5.57849e+00	1.00000e-01
-6.49530e-01	1.00000e-02	-2.57202e-01	1.00000e-02	2.41174e+00	1.00000e-01
-9.58177e-01	1.00000e-02	3.68387e-02	1.00000e-02	6.50202e+00	1.00000e-01
-1.16782e+00	1.00000e-02	2.13808e-01	1.00000e-02	8.39389e+00	1.00000e-01
-9.49744e-01	1.00000e-02	5.47163e-02	1.00000e-02	6.36986e+00	1.00000e-01
-1.61353e+00	1.00000e-02	3.80153e-01	1.00000e-02	9.40825e+00	1.00000e-01
-1.06633e+00	1.00000e-02	1.29450e-01	1.00000e-02	7.57813e+00	1.00000e-01
-1.55984e+00	1.00000e-02	3.87963e-01	1.00000e-02	9.28395e+00	1.00000e-01
-7.90449e-01	1.00000e-02	-1.44917e-01	1.00000e-02	4.04515e+00	1.00000e-01
-1.15005e+00	1.00000e-02	1.80102e-01	1.00000e-02	8.09243e+00	1.00000e-01
-1.21598e+00	1.00000e-02	2.48162e-01	1.00000e-02	8.62944e+00	1.00000e-01
-1.34755e+00	1.00000e-02	2.89785e-01	1.00000e-02	9.13286e+00	1.00000e-01
-9.69637e-01	1.00000e-02	7.14076e-02	1.00000e-02	6.75294e+00	1.00000e-01
-1.18552e+00	1.00000e-02	2.09019e-01	1.00000e-02	8.46626e+00	1.00000e-01
-1.12689e+00	1.00000e-02	1.81090e-01	1.00000e-02	7.97531e+00	1.00000e-01
-2.07093e+00	1.00000e-02	4.51520e-01	1.00000e-02	9.71701e+00	1.00000e-01
-1.07355e+00	1.00000e-02	1.55172e-01	1.00000e-02	7.80980e+00	1.00000e-01
-1.04662e+00	1.00000e-02	1.46067e-01	1.00000e-02	7.64414e+00	1.00000e-01
-1.07519e+00	1.00000e-02	1.33989e-01	1.00000e-02	7.67221e+00	1.00000e-01
-7.81010e-01	1.00000e-02	-1.20104e-01	1.00000e-02	4.15963e+00	1.00000e-01
-1.03433e+00	1.00000e-02	1.10642e-01	1.00000e-02	7.26187e+00	1.00000e-01
-1.27420e+00	1.00000e-02	2.39211e-01	1.00000e-02	8.60208e+00	1.00000e-01
-1.17797e+00	1.00000e-02	2.30235e-01	1.00000e-02	8.58750e+00	1.00000e-01
-1.03587e+00	1.00000e-02	8.65241e-02	1.00000e-02	7.15399e+00	1.00000e-01
-1.80290e+00	1.00000e-02	4.27525e-01	1.00000e-02	9.75480e+00	1.00000e-01
-1.03801e+00	1.00000e-02	1.38807e-01	1.00000e-02	7.38774e+00	1.00000e-01
-1.04699e+00	1.00000e-02	1.02130e-01	1.00000e-02	7.29110e+00	1.00000e-01
-1.43190e+00	1.00000e-02	3.16693e-01	1.00000e-02	9.27367e+00	1.00000e-01
-1.56995e+00	1.00000e-02	3.48449e-01	1.00000e-02	9.50641e+00	1.00000e-01
-1.32364e+00	1.00000e-02	2.78332e-01	1.00000e-02	8.98249e+00	1.00000e-01
-1.25438e+00	1.00000e-02	2.40762e-01	1.00000e-02	8.65146e+00	1.00000e-01
-1.10159e+00	1.00000e-02	1.63193e-01	1.00000e-02	7.88971e+00	1.00000e-01
-1.19208e+00	1.00000e-02	2.23417e-01	1.00000e-02	8.32914e+00	1.00000e-01
-5.81313e-01	1.00000e-02	-3.05660e-01	1.00000e-02	1.66154e+00	1.00000e-01
-1.66275e+00	1.00000e-02	4.02338e-01	1.00000e-02	9.25408e+00	1.00000e-01
-1.42769e+00	1.00000e-02	3.21049e-01	1.00000e-02	9.20639e+00	1.00000e-01
-1.51999e+00	1.00000e-02	3.63188e-01	1.00000e-02	9.30324e+00	1.00000e-01
-1.05585e+00	1.00000e-02	1.40947e-01	1.00000e-02	7.25358e+00	1.00000e-01
-1.37313e+00	1.00000e-02	2.89967e-01	1.00000e-02	8.97384e+00	1.00000e-01
