# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-9.63228e-01	5.00000e-02	6.88433e-02	5.00000e-02	1.08127e+00	1.00000e-01
-9.50856e-01	5.00000e-02	1.53299e-01	5.00000e-02	7.99246e-01	1.00000e-01
-8.36116e-01	5.00000e-02	2.83798e-02	5.00000e-02	8.56743e-01	1.00000e-01
-9.59275e-01	5.00000e-02	1.86488e-01	5.00000e-02	1.03214e+00	1.00000e-01
-8.33871e-01	5.00000e-02	1.70546e-01	5.00000e-02	9.09551e-01	1.00000e-01
-9.56102e-01	5.00000e-02	1.39318e-01	5.00000e-02	8.94166e-01	1.00000e-01
-1.02820e+00	5.00000e-02	1.47535e-01	5.00000e-02	1.04429e+00	1.00000e-01
-9.36320e-01	5.00000e-02	8.83776e-02	5.00000e-02	6.11200e-01	1.00000e-01
-9.70145e-01	5.00000e-02	1.51484e-01	5.00000e-02	6.05576e-01	1.00000e-01
-8.67209e-01	5.00000e-02	2.31966e-01	5.00000e-02	1.05834e+00	1.00000e-01
-8.05743e-01	5.00000e-02	1.14183e-01	5.00000e-02	9.26516e-01	1.00000e-01
-8.66044e-01	5.00000e-02	1.93815e-01	5.00000e-02	9.83535e-01	1.00000e-01
-9.72003e-01	5.00000e-02	1.38904e-01	5.00000e-02	8.93324e-01	1.00000e-01
-9.40745e-01	5.00000e-02	1.56894e-01	5.00000e-02	3.93485e-01	1.00000e-01
-1.36041e+00	5.00000e-02	3.32962e-01	5.00000e-02	1.05917e+00	1.00000e-01
-1.34416e+00	5.00000e-02	3.48818e-01	5.00000e-02	1.12875e+00	1.00000e-01
-1.63503e+00	5.00000e-02	3.96906e-01	5.00000e-02	1.20731e+00	1.00000e-01
-8.20042e-01	5.00000e-02	1.22993e-01	5.00000e-02	7.47398e-01	1.00000e-01
-8.74296e-01	5.00000e-02	5.73839e-02	5.00000e-02	7.76024e-01	1.00000e-01
-8.98228e-01	5.00000e-02	1.31724e-01	5.00000e-02	6.96910e-01	1.00000e-01
-8.44886e-01	5.00000e-02	5.93015e-02	5.00000e-02	5.44986e-01	1.00000e-01
-8.16727e-01	5.00000e-02	4.92436e-02	5.00000e-02	8.50663e-01	1.00000e-01
-9.54206e-01	5.00000e-02	1.50876e-01	5.00000e-02	9.86683e-01	1.00000e-01
-7.46470e-01	5.00000e-02	9.02549e-02	5.00000e-02	5.62328e-01	1.00000e-01
-1.14353e+00	5.00000e-02	2.73197e-01	5.00000e-02	1.03956e+00	1.00000e-01
-9.34594e-01	5.00000e-02	7.77782e-02	5.00000e-02	8.80265e-01	1.00000e-01
-1.08071e+00	5.00000e-02	3.69559e-01	5.00000e-02	9.86735e-01	1.00000e-01
-9.67484e-01	5.00000e-02	-1.75252e-03	5.00000e-02	6.77395e-01	1.00000e-01
-1.06389e+00	5.00000e-02	1.21090e-01	5.00000e-02	9.00829e-01	1.00000e-01
-9.20328e-01	5.00000e-02	2.15707e-01	5.00000e-02	1.07349e+00	1.00000e-01
-9.85582e-01	5.00000e-02	1.46156e-01	5.00000e-02	1.14789e+00	1.00000e-01
-8.39330e-01	5.00000e-02	1.56004e-01	5.00000e-02	8.90404e-01	1.00000e-01
-1.01734e+00	5.00000e-02	1.14131e-01	5.00000e-02	1.04098e+00	1.00000e-01
-1.00005e+00	5.00000e-02	2.08385e-01	5.00000e-02	9.61648e-01	1.00000e-01
-1.59968e+00	5.00000e-02	3.94783e-01	5.00000e-02	1.02281e+00	1.00000e-01
-8.51139e-01	5.00000e-02	1.56650e-01	5.00000e-02	1.00602e+00	1.00000e-01
-6.90672e-01	5.00000e-02	1.00115e-01	5.00000e-02	8.13814e-01	1.00000e-01
-8.57804e-01	5.00000e-02	5.10531e-02	5.00000e-02	8.69010e-01	1.00000e-01
-9.10198e-01	5.00000e-02	1.10902e-01	5.00000e-02	7.62847e-01	1.00000e-01
-9.69420e-01	5.00000e-02	9.71991e-02	5.00000e-02	7.80722e-01	1.00000e-01
-9.80502e-01	5.00000e-02	8.59502e-02	5.00000e-02	8.83385e-01	1.00000e-01
