# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-5.69871e-01	5.00000e-02	3.97093e-02	5.00000e-02	7.03720e-01	1.00000e-01
-4.85685e-01	5.00000e-02	-6.63305e-02	5.00000e-02	5.71092e-01	1.00000e-01
-3.39730e-01	5.00000e-02	-1.42763e-01	5.00000e-02	6.73170e-01	1.00000e-01
-1.14546e+00	5.00000e-02	2.00059e-01	5.00000e-02	1.05285e+00	1.00000e-01
-1.66918e+00	5.00000e-02	2.52516e-01	5.00000e-02	nan	nan
-8.35175e-01	5.00000e-02	1.43762e-01	5.00000e-02	nan	nan
-1.05907e+00	5.00000e-02	2.69958e-01	5.00000e-02	nan	nan
-1.39637e+00	5.00000e-02	2.98494e-01	5.00000e-02	nan	nan
-5.16840e-01	5.00000e-02	-7.13379e-02	5.00000e-02	nan	nan
-8.82565e-01	5.00000e-02	1.21318e-01	5.00000e-02	nan	nan
-4.72109e-01	5.00000e-02	1.42871e-02	5.00000e-02	nan	nan
-1.69259e+00	5.00000e-02	3.57099e-01	5.00000e-02	nan	nan
-6.23669e-01	5.00000e-02	1.50404e-01	5.00000e-02	nan	nan
-1.11762e+00	5.00000e-02	2.10302e-01	5.00000e-02	nan	nan
-6.76590e-01	5.00000e-02	1.33277e-01	5.00000e-02	nan	nan
-7.06187e-01	5.00000e-02	1.23804e-01	5.00000e-02	nan	nan
-1.93786e+00	5.00000e-02	4.45564e-01	5.00000e-02	nan	nan
-1.22723e+00	5.00000e-02	2.30809e-01	5.00000e-02	nan	nan
-9.78837e-01	5.00000e-02	1.95663e-01	5.00000e-02	nan	nan
-7.28849e-01	5.00000e-02	1.37036e-01	5.00000e-02	nan	nan
