# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-5.32349e-01	2.00000e-02	3.68823e-02	2.00000e-02	8.05254e-01	1.00000e-01
-6.95790e-01	2.00000e-02	4.12602e-02	2.00000e-02	1.17182e+00	1.00000e-01
-8.70400e-01	2.00000e-02	1.21743e-01	2.00000e-02	1.00876e+00	1.00000e-01
-1.00012e+00	2.00000e-02	2.22111e-01	2.00000e-02	8.89895e-01	1.00000e-01
-1.48350e+00	2.00000e-02	3.40141e-01	2.00000e-02	9.41027e-01	1.00000e-01
-8.65500e-01	2.00000e-02	1.91490e-01	2.00000e-02	9.07581e-01	1.00000e-01
-1.32444e+00	2.00000e-02	2.91414e-01	2.00000e-02	1.02202e+00	1.00000e-01
-9.15334e-01	2.00000e-02	1.69567e-01	2.00000e-02	1.07409e+00	1.00000e-01
-6.28571e-01	2.00000e-02	1.17441e-01	2.00000e-02	7.77815e-01	1.00000e-01
-9.46372e-01	2.00000e-02	2.03291e-01	2.00000e-02	1.24262e+00	1.00000e-01
-9.58420e-01	2.00000e-02	2.11665e-01	2.00000e-02	8.93626e-01	1.00000e-01
-1.48680e+00	2.00000e-02	3.07187e-01	2.00000e-02	1.00249e+00	1.00000e-01
-6.13283e-01	2.00000e-02	9.26183e-02	2.00000e-02	9.22944e-01	1.00000e-01
-8.64165e-01	2.00000e-02	1.71969e-01	2.00000e-02	7.79542e-01	1.00000e-01
-8.97872e-01	2.00000e-02	1.89235e-01	2.00000e-02	9.37535e-01	1.00000e-01
-6.59705e-01	2.00000e-02	5.50616e-02	2.00000e-02	8.57182e-01	1.00000e-01
-6.78330e-01	2.00000e-02	9.71605e-02	2.00000e-02	9.93418e-01	1.00000e-01
-6.17347e-01	2.00000e-02	4.89410e-02	2.00000e-02	9.30676e-01	1.00000e-01
-8.81631e-01	2.00000e-02	2.01954e-01	2.00000e-02	9.32933e-01	1.00000e-01
-6.36783e-01	2.00000e-02	1.04351e-01	2.00000e-02	8.40518e-01	1.00000e-01
-1.31201e+00	2.00000e-02	2.94444e-01	2.00000e-02	1.03092e+00	1.00000e-01
-4.20026e-01	2.00000e-02	-3.45873e-02	2.00000e-02	7.88721e-01	1.00000e-01
-1.18236e+00	2.00000e-02	2.17648e-01	2.00000e-02	8.72935e-01	1.00000e-01
