# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Age [Gyr]	Age_err
-1.11832e+00	5.00000e-02	2.42948e-01	5.00000e-02	7.18233e+00	5.00000e-01
-1.00403e+00	5.00000e-02	1.77065e-02	5.00000e-02	7.52223e+00	5.00000e-01
-1.13904e+00	5.00000e-02	1.64547e-01	5.00000e-02	7.60890e+00	5.00000e-01
-1.17393e+00	5.00000e-02	9.55616e-02	5.00000e-02	7.77448e+00	5.00000e-01
-1.11497e+00	5.00000e-02	2.12497e-01	5.00000e-02	8.95861e+00	5.00000e-01
-1.05615e+00	5.00000e-02	1.75148e-01	5.00000e-02	6.61654e+00	5.00000e-01
-1.21114e+00	5.00000e-02	2.68752e-01	5.00000e-02	8.36837e+00	5.00000e-01
-8.76833e-01	5.00000e-02	-5.55461e-02	5.00000e-02	5.81469e+00	5.00000e-01
-7.10668e-01	5.00000e-02	-1.75570e-01	5.00000e-02	3.63153e+00	5.00000e-01
-1.20661e+00	5.00000e-02	2.55074e-01	5.00000e-02	9.41352e+00	5.00000e-01
-9.65348e-01	5.00000e-02	6.62171e-02	5.00000e-02	6.16852e+00	5.00000e-01
-1.11765e+00	5.00000e-02	2.61862e-01	5.00000e-02	7.76837e+00	5.00000e-01
-1.15702e+00	5.00000e-02	2.15795e-01	5.00000e-02	7.84562e+00	5.00000e-01
-8.17791e-01	5.00000e-02	-8.50662e-02	5.00000e-02	4.58956e+00	5.00000e-01
-1.71559e+00	5.00000e-02	3.71835e-01	5.00000e-02	9.10411e+00	5.00000e-01
-1.69148e+00	5.00000e-02	3.20103e-01	5.00000e-02	8.86347e+00	5.00000e-01
-1.97714e+00	5.00000e-02	4.87189e-01	5.00000e-02	9.81497e+00	5.00000e-01
-8.69559e-01	5.00000e-02	-2.89593e-02	5.00000e-02	5.91220e+00	5.00000e-01
-9.40323e-01	5.00000e-02	1.05365e-01	5.00000e-02	6.86646e+00	5.00000e-01
-1.02437e+00	5.00000e-02	-5.82903e-02	5.00000e-02	5.82853e+00	5.00000e-01
-6.71902e-01	5.00000e-02	-1.20544e-01	5.00000e-02	2.95328e+00	5.00000e-01
