# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-1.04550e+00	5.00000e-02	1.25092e-01	5.00000e-02	1.17047e+00	1.00000e-01
-8.22954e-01	5.00000e-02	1.77072e-01	5.00000e-02	9.33083e-01	1.00000e-01
-9.61110e-01	5.00000e-02	1.02762e-01	5.00000e-02	9.62530e-01	1.00000e-01
-1.03829e+00	5.00000e-02	2.42695e-01	5.00000e-02	1.12075e+00	1.00000e-01
-1.05053e+00	5.00000e-02	2.75306e-01	5.00000e-02	9.73076e-01	1.00000e-01
-9.56950e-01	5.00000e-02	2.09270e-01	5.00000e-02	1.01481e+00	1.00000e-01
-1.19736e+00	5.00000e-02	2.46633e-01	5.00000e-02	1.11161e+00	1.00000e-01
-6.07573e-01	5.00000e-02	5.43545e-02	5.00000e-02	7.65263e-01	1.00000e-01
-5.22827e-01	5.00000e-02	2.12470e-02	5.00000e-02	6.88751e-01	1.00000e-01
-1.17963e+00	5.00000e-02	3.30404e-01	5.00000e-02	1.10909e+00	1.00000e-01
-7.28682e-01	5.00000e-02	1.26530e-01	5.00000e-02	1.07270e+00	1.00000e-01
-9.29980e-01	5.00000e-02	2.50631e-01	5.00000e-02	1.06865e+00	1.00000e-01
-1.08207e+00	5.00000e-02	1.99549e-01	5.00000e-02	9.87857e-01	1.00000e-01
-5.43107e-01	5.00000e-02	8.09091e-02	5.00000e-02	5.28327e-01	1.00000e-01
-1.78639e+00	5.00000e-02	3.85812e-01	5.00000e-02	1.04939e+00	1.00000e-01
-1.76641e+00	5.00000e-02	4.03744e-01	5.00000e-02	1.12055e+00	1.00000e-01
-2.16053e+00	5.00000e-02	4.44540e-01	5.00000e-02	1.19076e+00	1.00000e-01
-6.96646e-01	5.00000e-02	1.40227e-01	5.00000e-02	9.03966e-01	1.00000e-01
-7.82648e-01	5.00000e-02	6.71684e-02	5.00000e-02	9.19136e-01	1.00000e-01
-6.35114e-01	5.00000e-02	1.22518e-01	5.00000e-02	8.55721e-01	1.00000e-01
-3.72856e-01	5.00000e-02	-1.00058e-01	5.00000e-02	5.85438e-01	1.00000e-01
-7.44031e-01	5.00000e-02	6.34638e-02	5.00000e-02	9.98689e-01	1.00000e-01
-1.06078e+00	5.00000e-02	2.36331e-01	5.00000e-02	1.05916e+00	1.00000e-01
-6.59160e-01	5.00000e-02	1.00729e-01	5.00000e-02	7.06404e-01	1.00000e-01
-1.58849e+00	5.00000e-02	3.38231e-01	5.00000e-02	1.03525e+00	1.00000e-01
-9.55969e-01	5.00000e-02	1.50767e-01	5.00000e-02	9.99137e-01	1.00000e-01
-1.56051e+00	5.00000e-02	4.48222e-01	5.00000e-02	9.86484e-01	1.00000e-01
-5.43856e-01	5.00000e-02	-1.03244e-01	5.00000e-02	7.92824e-01	1.00000e-01
-1.12364e+00	5.00000e-02	1.79065e-01	5.00000e-02	9.84468e-01	1.00000e-01
-1.16908e+00	5.00000e-02	3.22096e-01	5.00000e-02	1.13415e+00	1.00000e-01
-1.25225e+00	5.00000e-02	2.35541e-01	5.00000e-02	1.17469e+00	1.00000e-01
-7.42530e-01	5.00000e-02	1.65308e-01	5.00000e-02	1.03262e+00	1.00000e-01
-1.13490e+00	5.00000e-02	2.02602e-01	5.00000e-02	1.11263e+00	1.00000e-01
-1.10978e+00	5.00000e-02	2.68934e-01	5.00000e-02	1.05609e+00	1.00000e-01
-2.13347e+00	5.00000e-02	4.42073e-01	5.00000e-02	1.00608e+00	1.00000e-01
-9.46334e-01	5.00000e-02	2.34292e-01	5.00000e-02	1.11733e+00	1.00000e-01
-7.99573e-01	5.00000e-02	1.77225e-01	5.00000e-02	9.23283e-01	1.00000e-01
-9.55316e-01	5.00000e-02	1.28603e-01	5.00000e-02	9.79970e-01	1.00000e-01
-4.87368e-01	5.00000e-02	1.07071e-02	5.00000e-02	8.79234e-01	1.00000e-01
-8.77041e-01	5.00000e-02	1.42405e-01	5.00000e-02	9.09374e-01	1.00000e-01
-1.27722e+00	5.00000e-02	1.72186e-01	5.00000e-02	9.27172e-01	1.00000e-01
-1.04450e+00	5.00000e-02	2.73786e-01	5.00000e-02	1.16777e+00	1.00000e-01
-9.15817e-01	5.00000e-02	5.61765e-02	5.00000e-02	8.95890e-01	1.00000e-01
-1.79868e+00	5.00000e-02	4.06466e-01	5.00000e-02	1.20316e+00	1.00000e-01
-8.66140e-01	5.00000e-02	2.51644e-01	5.00000e-02	9.50266e-01	1.00000e-01
-9.22216e-01	5.00000e-02	7.92620e-02	5.00000e-02	8.82379e-01	1.00000e-01
-1.39070e+00	5.00000e-02	2.54392e-01	5.00000e-02	1.16471e+00	1.00000e-01
-1.49967e+00	5.00000e-02	2.16449e-01	5.00000e-02	1.17148e+00	1.00000e-01
-1.36143e+00	5.00000e-02	2.83635e-01	5.00000e-02	1.17549e+00	1.00000e-01
